기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
바인텍,중소기업,경기 성남시,사무용 기계 및 장비 제조업,,,,
바인텍,중소기업,경기 파주시,생활용품·소비재·기타,,,,
바인텍,중소기업,경기 파주시,제책업,,,,
파인텍,중소기업,충남 천안시,반도체·디스플레이·광학,,,,
파인텍,중소기업,서울 마포구,반도체·디스플레이·광학,,,,
파인텍,중소기업,경기 평택시,건축·설비·환경,,,,
파인텍,중소기업,경기 군포시,기타 직물제품 제조업,,,,
파인텍,중소기업,서울 마포구,은행·금융,"5억 1,000만원",26억 4천만,권도영,2007.09.09
파인텍,중소기업,경기 수원시,기계·기계설비,김진창,산업용냉장및냉동장비，공기조절장치，소화기등,"국민연금, 건강보험, 고용보험, 산재보험",2002.07.15
파인텍,중소기업,충북 청주시,기체 여과기 제조업,14억 6백만원,53억 4천만원,김은겸,2017.01.02
파인텍,중소기업,경기 용인시,자동차용 신품 조향장치 및 현가 장치 제조업,-,-,김이화,-
파인텍,중소기업,광주 북구,기타 토목시설물 건설업,5억원,11억 5천만원,백광호,2007.07.26
서윤이엔씨,중소기업,강원 원주시,건축설계 및 관련 서비스업,2억원,11억 2천만원,손기석,2017.06.01
쟈니브로스,중소기업,서울 강남구,방송·케이블·프로덕션,,,,
한누리피케이지,중소기업,서울 성동구,그 외 기타 의복액세서리 제조업,,,,
단호학원,비영리단체·교육재단,경기 성남시,학교(초·중·고·대학·특수),-,-,김홍우,1953.06.15
제이비에스창호(주)경기지점,중소기업,경기 남양주시,금속·재료·자재,-,-,임명자,2016.03.04
제이비에스창호(주)경기지점,중소기업,경기 성남시,매니저업,-,-,이승주,2014.11.25
제이비에스창호(주)경기지점,중소기업,충남 논산시,신문·잡지·언론사,-,-,남기훈,-
제이비에스창호(주)경기지점,중소기업,경기 화성시,음식료·외식·프랜차이즈,-,-,나영미,-
티디코리아,중소기업,서울 종로구,콜센터 및 텔레마케팅 서비스업,,,,
티디코리아,중소기업,경기 성남시,상품 종합 중개업,,,,
티디코리아,중소기업,경기 김포시,자동차·조선·철강·항공,,,,
부건피앤피,중소기업,충북 청주시,주거용 부동산 관리업,"5억 1,100만원",64억 2백만원,김창수,1997.06.01
에이엠티인터내셔널,중소기업,경기 수원시,그 외 기타 상품 전문 도매업,"5,704만원",10억 8천만원,정연호,2006.11.03
새로고침,중소기업,경기 안양시,일반 창고업,3억원,250억 2천만원,김경욱/지현보,2015.08.10
새로고침,중소기업,경기 의정부시,물류·운송·배송,-,-,지현보·김경욱,2018.05.04
새로고침,중소기업,서울 영등포구,렌탈·임대·리스,-,-,허현,-
새로고침,중소기업,광주 북구,전자상거래 소매업,"2,000만원","7,596만원",김희상,2023.02.25
새로고침,중소기업,경기 화성시,물류·운송·배송,2억원,42억 3천만원,김택원/이승철,1981.05.01
새로고침,중소기업,경기 포천시,물류·운송·배송,-,-,김경욱,-
새로고침,중소기업,경기 부천시,인테리어·자재,-,-,박현정,-
새로고침,중소기업,경기 성남시,인테리어·자재,,,,
새로고침,중소기업,경기 안양시,의료(병원분류별),,,,
창문에안전,중소기업,경기 고양시,시스템 소프트웨어 개발 및 공급업,1억원,13억 4백만원,이바울,2016.07.01
우리베스트,중소기업,대전 서구,광고·홍보·전시,김지웅/이완진,"인재파견,광고홍보대행업,업무용역,헤드헌팅","국민연금, 건강보험, 고용보험, 산재보험",2021.05.01
우리베스트,중소기업,대구 중구,공기업·공공기관,-,-,송민석,2015.11.18
우리베스트,중소기업,서울 강서구,여행사업,"4,500만원","2,903만원",최기숙,2011.07.18
우리베스트,중소기업,부산 부산진구,증권·보험·카드,-,-,송민석,2018.06.29
우리베스트,중소기업,서울 강남구,일반 의원,,,,
우리베스트,중소기업,서울 종로구,그 외 기타 여신금융업,,,,
우리베스트,중소기업,인천 서구,일반 의원,,,,
우리베스트,중소기업,서울 강북구,의료(진료과별),,,,
우리베스트,중소기업,서울 구로구,증권·보험·카드,-,-,방정환,-
케이티서비스북부,대기업,대전 서구,네트워크·통신서비스,-,-,장희엽,2008.01.01
케이티서비스북부,중소기업,서울 동작구,네트워크·통신서비스,,,,
케이티서비스북부,대기업,경남 김해시,컴퓨터시설 관리업,,,,
선진,대기업,서울 강동구,동물용 사료 및 조제식품 제조업,,,,
선진,비영리법인,서울 중구,그 외 기타 협회 및 단체,,,,
선진,중견기업,경기 과천시,건설·시공·토목·조경,,,,
선진,중소기업,서울 은평구,시내버스 운송업,,,,
선진,중소기업,서울 금천구,생활화학·화장품,,,,
선진,대기업,경기 이천시,육류 기타 가공 및 저장처리업 (가금류 제외),,,,
선진,중소기업,서울 강동구,물류·운송·배송,,,,
선진,중소기업,충남 당진시,건설 및 채광용 기계장비 제조업,,,,
선진,중소기업,경북 청도군,사료 도매업,,,,
선진,중소기업,서울 강남구,공인회계사업,,,,
마루종합식품,중소기업,대구 북구,식품가공,-,-,전찬경,-
마루종합식품,중소기업,경북 문경시,물류·운송·배송,,,,
경원이엔씨,중소기업,서울 강남구,"도배, 실내장식 및 내장 목공사업",,,,
경원이엔씨,중소기업,경기 부천시,일반전기 공사업,,,,
경원이엔씨,중소기업,경북 경산시,기타 비주거용 건물 건설업,3억원,45억 3천만원,장경화,2015.06.08
제이엠피코리아,중소기업,서울 구로구,학원·어학원·교육원,2억원,101억 1천만원,노수열,2021.11.25
오감코리아,중소기업,경기 안산시,학습지·방문교육,,,,
우성유통,중견기업,대전 동구,과실류 도매업,,,,
우성유통,중소기업,대전 유성구,"채소, 과실 및 뿌리작물 소매업",,,,
우성유통,중소기업,경기 고양시,백화점·유통·도소매,,,,
우성유통,중소기업,서울 영등포구,기타 가공식품 도매업,20만원,12억 4백만원,조용재/조경섭,2019.04.01
우성유통,중소기업,서울특별시 은평구,커피 및 차류 도매업,-,-,방중현,2009.10.01
프리티스킨인터내셔널,중소기업,서울 중구,"화장품, 비누 및 방향제 소매업",6억원,212억 5천만원,정병섭,2014.05.01
칠삼이일디자인,중소기업,경기 파주시,디자인·CAD,,,,
아이텍코리아,중소기업,서울 송파구,컨베이어장치 제조업,,,,
아이텍코리아,중소기업,경기 군포시,혼성 및 재생 플라스틱 소재 물질 제조업,,,,
아이텍코리아,중소기업,강원 춘천시,건설·시공·토목·조경,,,,
