기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
보고예선,중소기업,경남 사천시,기타 해상 운송업,23억원,36억 6천만원,정슬기,2007.05.20
한국디지털거래소,중소기업,서울 서초구,솔루션·SI·CRM·ERP,109억 9천만원,-,김석진,2017.07.06
스마트테크,중소기업,광주 서구,생활용품·소비재·기타,6억원,150억원,김순재,2016
스마트테크,중소기업,강원 평창군,일반전기 공사업,2억원,10억 1천만원,임현정,2012.02.16
스마트테크,중소기업,경기도 수원시,가전제품 수리업,"5,000만원","5억 3,379만원",장덕식,2016.07.01
스마트테크,중소기업,경기 안산시,반도체 제조용 기계 제조업,-,-,이윤지/이수원,2015.01.14
스마트테크,중소기업,경기 화성시,과실류 도매업,"5,000만원",-,서상범,2017.07.24
스마트테크,중소기업,서울 도봉구,시스템 소프트웨어 개발 및 공급업,-,-,오남성,-
스마트테크,중소기업,대전 대덕구,자동차·조선·철강·항공,-,-,송권선,-
스마트테크,중소기업,대구 동구,육류 기타 가공 및 저장처리업 (가금류 제외),"5,000만원",17억 6천만원,김대원,2020.08.25
스마트테크,중소기업,전남 나주시,곡물 및 기타 식량작물 재배업,5억원,47억 3천만원,남윤환,2017.04.26
씨이엔에스,중소기업,경기 고양시,전자상거래 소매 중개업,"1,000만원",19억 6천만원,김영선,2009.06.29
씨이엔에스,중소기업,서울 마포구,상품 종합 도매업,1억원,42억 2천만원,최재홍,2014.02.05
씨이엔에스,중소기업,서울 서초구,연예·엔터테인먼트,-,-,신인수,2023.07.10
씨이엔에스,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,7억원,"2억 8,689만원",박병건,2009.03.03
씨이엔에스,개인,서울 양천구,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",-,-,양천수,-
일출축산,중소기업,경기 광주시,백화점·유통·도소매,100억원,50억,강인정,2007.06.28
아스트로젠,중소기업,대구광역시 북구,의학 및 약학 연구개발업,25억 7천만원,"4억 9,565만원",황수경,2017.08.20
경인환경,중소기업,인천 미추홀구,물질성분 검사 및 분석업,-,-,조용태,1982.08.20
경인환경,비영리단체·교육재단,인천 계양구,화학·에너지·환경,-,-,박길현,-
중소기업은행,공공기관,서울 중구,국내은행,"4조 2,113억원",27조 3천억원,김성태,1961.07.25
중소기업은행,비영리법인,서울 중구,노동조합,-,-,류장희,1984.01.09
중소기업은행,대기업 계열사·자회사,서울 중구,시스템 소프트웨어 개발 및 공급업,31억원,"3,509억 5천만원",김윤기,1991.04.16
중소기업은행,대기업,서울 영등포구,증권 중개업,"6,309억 3천만원","2조 9,838억원",서정학,2008.07.23
중소기업은행,대기업,서울 중구,생명 보험업,"4,900억원","7,622억 8천만원",임문택,2010.09.01
중소기업은행,중견기업,서울 영등포구,신용 조사 및 추심 대행업,30억원,336억 5천만원,서재홍,2000.02.02
중소기업은행,대기업,서울 강남구,그 외 기타 여신금융업,"2,654억 5천만원","7,862억원6십만원",문창환,1986.11.20
중소기업은행,중소기업,서울 마포구,주거용 부동산 관리업,30억원,785억 4천만원,정광후,2018.12.18
중소기업은행,중소기업,부산 부산진구,상호저축은행 및 기타 저축기관,"1,066억 9백만원","1,248억 2천만원",전병성,2011.10.11
중소기업은행,대기업,서울 영등포구,신탁업 및 집합투자업,200억원,264억 5천만원,장민영,2004.10.26
원창플랜트,중소기업,경기도 군포시,산업용 냉장 및 냉동 장비 제조업,1억원,24억 2천만원,송구길,2010.01.07
에코피스,중소기업,광주 북구,산업용 로봇 제조업,"2억 1,832만원",53억 1천만원,채인원,2012.12.12
에코피스,비영리법인,서울 중구,"물리, 화학 및 생물학 연구개발업",1억 71만원,1만원,문국현,2006.05.30
비웍스커뮤니케이션,중소기업,서울 강남구,광고·홍보·전시,"5,000만원",20억,이승희,2003.07.04
비웍스커뮤니케이션,중소기업,서울 중구,경 인쇄업,"1,000만원",9억 520만원,백종찬,2017.11.08
비웍스커뮤니케이션,중소기업,경기 남양주시,네트워크·통신서비스,1억원,5억,정현우,2019.06.07
비웍스커뮤니케이션,중소기업,서울 강남구,광고 대행업,"1,000만원",1억 605만원,김태형,2024.11.08
비웍스커뮤니케이션,중소기업,서울 성동구,응용 소프트웨어 개발 및 공급업,-,-,송혜경,2013.11.29
비웍스커뮤니케이션,중소기업,서울 강남구,광고업,-,-,박승진,2010.03.24
이그린글로벌,벤처기업,경기 군포시,식품가공,-,-,신기준,2009.08.05
블루소프트,중소기업,서울 영등포구,그 외 기타 전자부품 제조업,"2억 5,000만원",76억 6천만원,구상문,1999.04.17
블루소프트,중소기업,충북 청주시,솔루션·SI·CRM·ERP,"5,000만원",7억,"서명석,김호영",2002.10.18
블루소프트,중소기업,서울 강남구,시스템ㆍ응용 소프트웨어 개발 및 공급업,-,-,정원식,2013.04.02
블루소프트,중소기업,충북 청주시,응용 소프트웨어 개발 및 공급업,-,-,서명석,2002.10.18
블루소프트,중소기업,서울 강남구,컴퓨터·하드웨어·장비,,,,
